Data from FLMT043001_09-33-43-465.txt Node
Date: Wed Sep 13 09:33:43 AWST 2023
User: vk1team
Spectrometer: FLMT04300
Trigger mode: 0
Integration Time (sec): 1.000000E-1
Scans to average: 1
Electric dark correction enabled: true
Nonlinearity correction enabled: false
Boxcar width: 0
XAxis mode: Wavelengths
Number of Pixels in Spectrum: 3648
>>>>>Begin Spectral Data<<<<<
195.236	-136.73
195.457	-136.73
195.678	-136.73
195.899	-154.4
196.119	-64.32
196.34	71.68
196.561	62.85
196.782	20.46
197.002	-20.16
197.223	55.78
197.444	-73.15
197.664	-32.53
197.885	-92.58
198.106	-13.1
198.326	41.65
198.547	2.8
198.768	-23.7
198.988	-14.87
199.209	-62.55
199.429	-0.74
199.65	-69.62
199.871	27.52
200.091	-14.87
200.312	1.03
200.532	-7.8
200.753	-16.63
200.973	-14.87
201.194	73.44
201.414	-20.16
201.635	34.59
201.855	-50.19
202.076	-43.12
202.296	-23.7
202.516	32.82
202.737	69.91
202.957	9.86
203.178	66.38
203.398	-67.85
203.618	59.32
203.839	-78.45
204.059	-9.57
204.279	-73.15
204.5	-34.29
204.72	50.48
204.94	-36.06
205.16	48.72
205.381	69.91
205.601	-30.76
205.821	29.29
206.041	16.93
206.262	2.8
206.482	55.78
206.702	73.44
206.922	-6.03
207.142	54.02
207.362	39.89
207.583	-14.87
207.803	1.03
208.023	1.03
208.243	-25.46
208.463	-0.74
208.683	52.25
208.903	-27.23
209.123	22.22
209.343	-6.03
209.563	45.19
209.783	54.02
210.003	-27.23
210.223	-20.16
210.443	54.02
210.663	-62.55
210.883	-11.33
211.103	-41.36
211.323	36.35
211.543	-0.74
211.763	4.56
211.983	-44.89
212.202	-6.03
212.422	-27.23
212.642	2.8
212.862	23.99
213.082	-18.4
213.302	36.35
213.521	-30.76
213.741	4.56
213.961	-20.16
214.181	25.76
214.4	11.63
214.62	-11.33
214.84	-36.06
215.06	-9.57
215.279	-29
215.499	48.72
215.719	46.95
215.938	45.19
216.158	-64.32
216.377	52.25
216.597	94.64
216.817	-81.98
217.036	1.03
217.256	9.86
217.475	-6.03
217.695	-2.5
217.914	68.15
218.134	-9.57
218.354	36.35
218.573	-48.42
218.793	98.17
219.012	69.91
219.231	-7.8
219.451	-23.7
219.67	-9.57
219.89	27.52
220.109	108.77
220.329	-7.8
220.548	34.59
220.767	59.32
220.987	6.33
221.206	-62.55
221.425	27.52
221.645	59.32
221.864	11.63
222.083	-29
222.303	11.63
222.522	-18.4
222.741	99.94
222.96	59.32
223.18	2.8
223.399	-32.53
223.618	32.82
223.837	-6.03
224.056	-20.16
224.276	138.79
224.495	54.02
224.714	-29
224.933	36.35
225.152	68.15
225.371	-21.93
225.59	-92.58
225.809	-57.25
226.028	22.22
226.248	23.99
226.467	59.32
226.686	-39.59
226.905	27.52
227.124	-27.23
227.343	1.03
227.562	1.03
227.781	57.55
228	76.98
228.218	-51.96
228.437	43.42
228.656	18.69
228.875	-16.63
229.094	-29
229.313	23.99
229.532	29.29
229.751	38.12
229.97	-36.06
230.188	6.33
230.407	43.42
230.626	68.15
230.845	-27.23
231.064	23.99
231.282	-46.66
231.501	54.02
231.72	9.86
231.939	54.02
232.157	4.56
232.376	71.68
232.595	-29
232.813	-13.1
233.032	-4.27
233.251	55.78
233.469	75.21
233.688	55.78
233.907	15.16
234.125	99.94
234.344	9.86
234.562	73.44
234.781	2.8
234.999	29.29
235.218	-59.02
235.436	4.56
235.655	22.22
235.873	11.63
236.092	15.16
236.31	16.93
236.529	27.52
236.747	29.29
236.966	-0.74
237.184	-59.02
237.403	-9.57
237.621	59.32
237.839	-23.7
238.058	55.78
238.276	-4.27
238.494	-32.53
238.713	-90.81
238.931	-25.46
239.149	108.77
239.368	-30.76
239.586	18.69
239.804	117.6
240.022	15.16
240.241	22.22
240.459	20.46
240.677	27.52
240.895	-60.79
241.113	75.21
241.332	54.02
241.55	168.82
241.768	-89.05
241.986	-9.57
242.204	66.38
242.422	38.12
242.64	20.46
242.859	46.95
243.077	-0.74
243.295	71.68
243.513	-13.1
243.731	-43.12
243.949	-36.06
244.167	38.12
244.385	-55.49
244.603	-41.36
244.821	31.06
245.039	38.12
245.257	75.21
245.475	-41.36
245.692	46.95
245.91	25.76
246.128	54.02
246.346	23.99
246.564	22.22
246.782	-0.74
247	16.93
247.218	-0.74
247.435	68.15
247.653	-83.75
247.871	66.38
248.089	-34.29
248.306	-11.33
248.524	-21.93
248.742	43.42
248.96	61.08
249.177	15.16
249.395	64.61
249.613	-64.32
249.83	-44.89
250.048	-53.72
250.266	39.89
250.483	36.35
250.701	48.72
250.919	-32.53
251.136	1.03
251.354	9.86
251.571	25.76
251.789	-0.74
252.006	-13.1
252.224	61.08
252.441	-51.96
252.659	-39.59
252.876	-89.05
253.094	-30.76
253.311	94.64
253.529	-57.25
253.746	50.48
253.964	-6.03
254.181	6.33
254.399	-16.63
254.616	31.06
254.833	4.56
255.051	39.89
255.268	9.86
255.485	45.19
255.703	-62.55
255.92	-43.12
256.137	66.38
256.355	57.55
256.572	1.03
256.789	25.76
257.006	105.24
257.224	4.56
257.441	-30.76
257.658	-41.36
257.875	-57.25
258.092	-29
258.31	137.03
258.527	59.32
258.744	89.34
258.961	-7.8
259.178	23.99
259.395	61.08
259.612	-23.7
259.829	98.17
260.046	6.33
260.263	85.81
260.48	31.06
260.698	31.06
260.915	55.78
261.132	6.33
261.349	-20.16
261.565	-41.36
261.782	15.16
261.999	66.38
262.216	13.39
262.433	22.22
262.65	-80.22
262.867	-37.83
