x-axis,1,2
second,Volt,Volt
-200.000E+00,+9.669E+00,+24.255E+00
-199.900E+00,+9.669E+00,+24.095E+00
-199.800E+00,+9.749E+00,+24.135E+00
-199.700E+00,+9.870E+00,+24.054E+00
-199.600E+00,+9.830E+00,+24.215E+00
-199.500E+00,+9.870E+00,+23.853E+00
-199.400E+00,+9.709E+00,+24.416E+00
-199.300E+00,+9.870E+00,+24.175E+00
-199.200E+00,+9.749E+00,+24.175E+00
-199.100E+00,+9.870E+00,+24.054E+00
-199.000E+00,+9.870E+00,+24.255E+00
-198.900E+00,+9.870E+00,+23.853E+00
-198.800E+00,+9.870E+00,+24.175E+00
-198.700E+00,+9.991E+00,+24.175E+00
-198.600E+00,+10.232E+00,+24.054E+00
-198.500E+00,+10.071E+00,+24.255E+00
-198.400E+00,+10.071E+00,+24.135E+00
-198.300E+00,+10.071E+00,+24.255E+00
-198.200E+00,+9.991E+00,+24.135E+00
-198.100E+00,+10.111E+00,+24.054E+00
-198.000E+00,+10.071E+00,+24.054E+00
-197.900E+00,+10.111E+00,+24.095E+00
-197.800E+00,+10.071E+00,+24.054E+00
-197.700E+00,+10.071E+00,+24.135E+00
-197.600E+00,+10.232E+00,+24.054E+00
-197.500E+00,+10.071E+00,+24.054E+00
-197.400E+00,+10.232E+00,+24.095E+00
-197.300E+00,+10.071E+00,+23.974E+00
-197.200E+00,+10.393E+00,+24.215E+00
-197.100E+00,+10.232E+00,+24.095E+00
-197.000E+00,+10.272E+00,+24.255E+00
-196.900E+00,+10.433E+00,+24.054E+00
-196.800E+00,+10.393E+00,+24.175E+00
-196.700E+00,+10.473E+00,+24.054E+00
-196.600E+00,+10.272E+00,+24.095E+00
-196.500E+00,+10.272E+00,+24.054E+00
-196.400E+00,+10.312E+00,+24.095E+00
-196.300E+00,+10.473E+00,+24.255E+00
-196.200E+00,+10.473E+00,+24.054E+00
-196.100E+00,+10.473E+00,+24.095E+00
-196.000E+00,+10.674E+00,+24.255E+00
-195.900E+00,+10.473E+00,+24.054E+00
-195.800E+00,+10.393E+00,+24.175E+00
-195.700E+00,+10.473E+00,+24.135E+00
-195.600E+00,+10.473E+00,+24.054E+00
-195.500E+00,+10.674E+00,+24.054E+00
-195.400E+00,+10.674E+00,+24.095E+00
-195.300E+00,+10.594E+00,+24.054E+00
-195.200E+00,+10.553E+00,+24.255E+00
-195.100E+00,+10.674E+00,+24.095E+00
-195.000E+00,+10.674E+00,+24.255E+00
-194.900E+00,+10.835E+00,+24.054E+00
-194.800E+00,+10.553E+00,+24.135E+00
